Feature,Gain,Cover,Frequency
`Omics Absolute CN Gene Public 24Q4 MSH6`,9.65455629379957e-06,0.000357909806728704,0.000730994152046784
`Expression Public 25Q3 MAPK3`,9.43780732811291e-06,0.00387735623956096,0.0043859649122807
`Expression Public 25Q3 PTPRS`,8.97473843266283e-06,0.000676051857154219,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 FOXA1`,7.91532185639431e-06,0.00159071025212758,0.00146198830409357
`Expression Public 25Q3 FGFR1`,7.87308631005145e-06,0.00137198759246003,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 SOS2`,7.77070110266046e-06,0.00228664598743339,0.00219298245614035
`Expression Public 25Q3 ELF3`,7.7086553350492e-06,0.00117314881094409,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 PPP2CA`,7.52915497356363e-06,0.00063628410085103,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 PTPRT`,7.28188073836871e-06,0.00097431002942814,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 ANGPT1`,7.15062764958039e-06,0.0014912908613696,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 PTPN13`,7.11815057253682e-06,0.00332060765131631,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 CXCR4`,6.79692761300248e-06,0.00155094249582439,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 EXO1`,6.78331440907755e-06,0.00033802592857711,0.000730994152046784
`Expression Public 25Q3 MET`,6.72314087618419e-06,0.000855006760518572,0.000730994152046784
`Expression Public 25Q3 CD274`,6.29904049454553e-06,0.00161059413027917,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 FOSL1`,6.01800749156966e-06,0.000477213075638273,0.00146198830409357
`Expression Public 25Q3 FGFBP1`,5.83507185788159e-06,0.00459317585301837,0.00511695906432749
`Expression Public 25Q3 TCF7L1`,5.60067364129614e-06,0.00165036188658236,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 ETV1`,5.47132688986176e-06,0.000238606537819136,0.000730994152046784
`Expression Public 25Q3 PTPN13`,5.21025415975282e-06,0.000397677563031894,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 PRKAR1A`,5.06187188526513e-06,0.000676051857154219,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 USP44`,4.61215587695164e-06,0.000497096953789867,0.000730994152046784
`Expression Public 25Q3 STK11`,4.49933213686125e-06,0.000516980831941462,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 ANGPTL4`,4.22012533004465e-06,0.000735703491609003,0.000730994152046784
`Expression Public 25Q3 ABL2`,4.16659783253581e-06,0.000457329197486678,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 APP`,4.04128570713212e-06,0.000914658394973356,0.000730994152046784
`Expression Public 25Q3 FOXA1`,3.93809169889001e-06,0.00332060765131631,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 KMT2E`,3.92707825258491e-06,0.0033603754076195,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 BMP4`,3.71399844634618e-06,0.00137198759246003,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 TNFRSF14`,3.53252126872555e-06,0.00165036188658236,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 PPP2CB`,3.46570397395677e-06,0.00129245207985365,0.00146198830409357
`Expression Public 25Q3 KDM5B`,3.38246029197941e-06,0.00174978127734033,0.00219298245614035
`Expression Public 25Q3 BCOR`,3.26555645567695e-06,0.00119303268909568,0.00219298245614035
`Expression Public 25Q3 SOCS3`,2.98237981783812e-06,0.00169012964288555,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 DROSHA`,2.87057176792408e-06,0.00328083989501312,0.00292397660818713
`Expression Public 25Q3 PIK3C2B`,2.79786722142241e-06,0.000556748588244651,0.00146198830409357
`Expression Public 25Q3 BCORL1`,2.74284403913512e-06,0.00172989739918874,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 TRAF6`,2.62721393628829e-06,0.00143163922691482,0.00146198830409357
`Expression Public 25Q3 VEGFA`,2.58563571825486e-06,0.00246560089079774,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 GNAS`,2.33818798589915e-06,0.0011333810546409,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 HSP90AB1`,2.09972075645834e-06,0.00097431002942814,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 WT1`,2.07901988801235e-06,0.00250536864710093,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 TEAD2`,2.05127810407551e-06,0.00029825817227392,0.000730994152046784
`Expression Public 25Q3 NRAS`,2.01076530922931e-06,0.000775471247912193,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 BRIP1`,2.00791972844145e-06,0.000775471247912193,0.000730994152046784
`Expression Public 25Q3 COL1A2`,1.86245806054089e-06,0.00294281396643601,0.00292397660818713
`Expression Public 25Q3 KDM5C`,1.75772303943328e-06,0.00107372942018611,0.00146198830409357
`Expression Public 25Q3 MED13L`,1.68672589824205e-06,0.00202815557146266,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 HLA-A`,1.59011000430102e-06,0.0026246719160105,0.00219298245614035
`Expression Public 25Q3 PRDM1`,1.57557773433514e-06,0.0011333810546409,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 POLD1`,1.55114546913047e-06,0.000536864710093057,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 USP22`,1.54133769310326e-06,0.00029825817227392,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 GNAQ`,1.49289276721137e-06,0.000755587369760598,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 TNFRSF1B`,1.37115260874294e-06,0.00171001352103714,0.00146198830409357
`Expression Public 25Q3 CDK4`,1.36726888687667e-06,0.000278374294122326,0.000730994152046784
`Expression Public 25Q3 HLA-C`,1.3296182978534e-06,0.00161059413027917,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 RALA`,1.30624463530875e-06,0.000258490415970731,0.000730994152046784
`Expression Public 25Q3 PLCG1`,1.29280634948777e-06,0.000874890638670166,0.000730994152046784
